row,player,mlbid,owner_2015_EOY,price_2015,price_2014,status_auction_2015,status_auction_2014,status_2016,keepable_price
1,Yasmani Grandal,518735,bench,2,2,,,2 yr keeper @ 2,2
2,Matt Carpenter,572761,bench,11,10,,Keeper,2 yr keeper @ 11,11
3,Grégory Polanco,570256,bench,5,FA pickup,,,2 yr keeper @ 5,5
4,Billy Burns,542993,bench,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
5,Marcell Ozuna,542303,bench,11,FA pickup,,,2 yr keeper @ 11,11
6,Kevin Kiermaier,595281,bench,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
7,Joc Pederson,592626,bench,1,1,Keeper,,1 yr max keeper @ 1,1
8,Wil Myers,571976,bench,2,5,,Keeper,2 yr keeper @ 2,2
9,Maikel Franco,596748,bench,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
10,Mikie Mahtook,543484,bench,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
11,Randal Grichuk,545341,bench,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
12,Anthony Gose,543238,bench,1,FA pickup,,,2 yr keeper @ 1,1
13,Javier Báez,595879,bench,5,6,,,2 yr keeper @ 5,5
14,Devin Mesoraco,519023,bench,1,FA pickup,Keeper,,Forced FA (1 yr FA),
15,Steven Souza Jr.,519306,bench,4,FA pickup,,,2 yr keeper @ 4,4
16,Jordan Zimmermann,519455,bench,25,7,,Keeper,2 yr keeper @ 25,25
17,Lance Lynn,458681,bench,9,8,,,2 yr keeper @ 9,9
18,Kevin Gausman,592332,bench,FA pickup,4,,,$1 FA 1yr keeper,1
19,Francisco Rodríguez,408061,bench,10,FA pickup,,,2 yr keeper @ 10,10
20,Héctor Rondón,444468,bench,7,FA pickup,,,2 yr keeper @ 7,7
21,Madison Bumgarner,518516,bench,23,23,Keeper,,1 yr max keeper @ 23,23
22,Zack Greinke,425844,bench,26,17,,,2 yr keeper @ 26,26
23,Carlos Martínez,593372,bench,5,3,,,2 yr keeper @ 5,5
24,Joe Ross,605452,bench,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
25,Trevor Bauer,545333,bench,4,FA pickup,,,2 yr keeper @ 4,4
26,Andrew Cashner,488768,bench,2,10,,,2 yr keeper @ 2,2
27,Raisel Iglesias,628452,bench,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
28,Hunter Pence,452254,bench,7,6,,Keeper,2 yr keeper @ 7,7
29,Devon Travis,581527,bench,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
30,Brian McCann,435263,saud,13,16,,,2 yr keeper @ 13,13
31,Prince Fielder,425902,saud,21,49,,Keeper,2 yr keeper @ 21,21
32,Brandon Phillips,408252,saud,FA pickup,14,,,$1 FA 1yr keeper,1
33,Nolan Arenado,571448,saud,5,5,Keeper,,1 yr max keeper @ 5,5
34,Francisco Lindor,596019,saud,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
35,Austin Jackson,457706,saud,1,5,,,2 yr keeper @ 1,1
36,Carlos González,471865,saud,27,47,,,2 yr keeper @ 27,27
37,Odubel Herrera,546318,saud,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
38,Freddie Freeman,518692,saud,32,5,,Keeper,2 yr keeper @ 32,32
39,Rusney Castillo,628329,saud,6,FA pickup,,,2 yr keeper @ 6,6
40,Alex Guerrero,648717,saud,FA pickup,5,,,$1 FA 1yr keeper,1
41,Jorge Soler,624585,saud,1,FA pickup,Keeper,,Forced FA (1 yr FA),
42,Pablo Sandoval,467055,saud,14,23,,,2 yr keeper @ 14,14
43,Wilson Ramos,467092,saud,1,1,,Keeper,2 yr keeper @ 1,1
44,Alcides Escobar,444876,saud,4,FA pickup,,,2 yr keeper @ 4,4
45,Yasmany Tomás,630111,saud,2,FA pickup,,,2 yr keeper @ 2,2
46,Howie Kendrick,435062,saud,7,1,,,2 yr keeper @ 7,7
47,Corey Kluber,446372,saud,9,9,Keeper,,1 yr max keeper @ 9,9
48,Julio Teherán,527054,saud,2,2,Keeper,Keeper,Forced FA (2 yr keeper),
